Name,Ticker,Weight,Sector
Interpublic Group of Companies Inc.,IPG,0.048201,Consumer Discretionary
Tesoro Corporation,TSO,0.048165,Energy
Varian Medical Systems Inc.,VAR,0.047893,Health Care
Snap-on Incorporated,SNA,0.047713,Industrials
Newfield Exploration Company,NFX,0.047414,Energy
Alliant Energy Corporation,LNT,0.046756,Utilities
Iron Mountain Inc.,IRM,0.046641,Financials
Arthur J. Gallagher & Co.,AJG,0.046484,Financials
Mallinckrodt Plc,MNK,0.046435,Health Care
Michael Kors Holdings Ltd,KORS,0.046079,Consumer Discretionary
CBRE Group Inc. Class A,CBG,0.045975,Financials
F5 Networks Inc.,FFIV,0.045693,Information Technology
Lennar Corporation Class A,LEN,0.045496,Consumer Discretionary
Pinnacle West Capital Corporation,PNW,0.045441,Utilities
Xylem Inc.,XYL,0.045006,Industrials
Total System Services Inc.,TSS,0.043528,Information Technology
Juniper Networks Inc.,JNPR,0.043063,Information Technology
VeriSign Inc.,VRSN,0.042952,Information Technology
Wynn Resorts Limited,WYNN,0.042786,Consumer Discretionary
Unum Group,UNM,0.042471,Financials
PVH Corp.,PVH,0.042457,Consumer Discretionary
Nasdaq Inc.,NDAQ,0.042444,Financials
AES Corporation,AES,0.042365,Utilities
Alaska Air Group Inc.,ALK,0.042331,Industrials
Foot Locker Inc.,FL,0.04222,Consumer Discretionary
NiSource Inc.,NI,0.042189,Utilities
NetApp Inc.,NTAP,0.042029,Information Technology
Comerica Incorporated,CMA,0.04177,Financials
Wyndham Worldwide Corporation,WYN,0.041322,Consumer Discretionary
Affiliated Managers Group Inc.,AMG,0.040898,Financials
Huntington Bancshares Incorporated,HBAN,0.039939,Financials
Goodyear Tire & Rubber Company,GT,0.039453,Consumer Discretionary
Stericycle Inc.,SRCL,0.039385,Industrials
BorgWarner Inc.,BWA,0.03886,Consumer Discretionary
J.B. Hunt Transport Services Inc.,JBHT,0.038487,Industrials
Fluor Corporation,FLR,0.037961,Industrials
E*TRADE Financial Corporation,ETFC,0.037866,Financials
Kohl's Corporation,KSS,0.037847,Consumer Discretionary
Leggett & Platt Incorporated,LEG,0.037684,Consumer Discretionary
Apartment Investment and Management Company Class A,AIV,0.037535,Financials
Under Armour Inc. Class A,UA,0.037458,Consumer Discretionary
Darden Restaurants Inc.,DRI,0.037446,Consumer Discretionary
United Rentals Inc.,URI,0.037272,Industrials
Tiffany & Co.,TIF,0.037241,Consumer Discretionary
Avery Dennison Corporation,AVY,0.03717,Materials
Torchmark Corporation,TMK,0.036849,Financials
TripAdvisor Inc.,TRIP,0.036819,Consumer Discretionary
Qorvo Inc.,QRVO,0.036688,Information Technology
Signet Jewelers Limited,SIG,0.036423,Consumer Discretionary
Allegion PLC,ALLE,0.036191,Industrials
Bed Bath & Beyond Inc.,BBBY,0.036085,Consumer Discretionary
Helmerich & Payne Inc.,HP,0.035968,Energy
PulteGroup Inc.,PHM,0.035542,Consumer Discretionary
Jacobs Engineering Group Inc.,JEC,0.035319,Industrials
Under Armour Inc. Class C,UA.C,0.034195,Consumer Discretionary
Range Resources Corporation,RRC,0.034174,Energy
Garmin Ltd.,GRMN,0.034115,Consumer Discretionary
FMC Corporation,FMC,0.033795,Materials
Leucadia National Corporation,LUK,0.033211,Financials
Southwestern Energy Company,SWN,0.032323,Energy
Flowserve Corporation,FLS,0.032245,Industrials
Harman International Industries Incorporated,HAR,0.031891,Consumer Discretionary
Ralph Lauren Corporation Class A,RL,0.03155,Consumer Discretionary
PerkinElmer Inc.,PKI,0.031268,Health Care
